"Weight.class","Winner","Loser","Method","Round","Time","Method.details"
"Welterweight","Daniel Roberts","Forrest Petz","Decision","3","5:00","(split) (29–28, 29–28, 28–29)"
"Heavyweight","Jon Madsen","Karlos Vemola","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Court McGee","Kris McCray","Submission","2","3:41","(rear-naked choke)"
"Light Heavyweight","Matt Hamill","Keith Jardine","Decision","3","5:00","(majority) (29–27, 29–27, 28–28)"
"Middleweight","Chris Leben","Aaron Simpson","TKO","2","4:17","(punches)"
"Lightweight","Dennis Siver","Spencer Fisher","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28"
"Middleweight","Rich Attonito","Jamie Yager","TKO","2","4:25","(punches)"
"Lightweight","John Gunderson","Mark Holst","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Brad Tavares","Seth Baczynski","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Middleweight","Kyle Noke","Josh Bryant","TKO","2","3:12","(punches)"
"Middleweight","Chris Camozzi","James Hammortree","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Heavyweight","Travis Browne","James McSweeney","TKO","1","4:32","(punches)"
"Light Heavyweight","Rich Franklin","Chuck Liddell","KO","1","4:55","(punch)"
"Heavyweight","Mirko Filipović","Pat Barry","Submission","3","4:30","(rear-naked choke)"
"Welterweight","Martin Kampmann","Paulo Thiago","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Heavyweight","Ben Rothwell","Gilbert Yvel","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28"
"Welterweight","Carlos Condit","Rory MacDonald","TKO","3","4:53","(punches)"
"Lightweight","Evan Dunham","Tyson Griffin","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Lightweight","Matt Wiman","Mac Danzig","Submission","1","1:45","(guillotine choke)"
"Middleweight","Mario Miranda","David Loiseau","TKO","2","4:07","(punches)"
"Welterweight","James Wilks","Peter Sobotta","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–28)"
"Welterweight","Claude Patrick","Ricardo Funch","Submission","2","1:48","(guillotine choke)"
"Welterweight","Mike Pyle","Jesse Lennox","Submission","3","4:44","Technical  (triangle choke)"
"Light Heavyweight","Rashad Evans","Quinton Jackson","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Michael Bisping","Dan Miller","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Heavyweight","Mike Russow","Todd Duffee","KO","3","2:33","(punch)"
"Light Heavyweight","Antônio Rogério Nogueira","Jason Brilz","Decision","3","5:00","(split) (28–29, 29–28, 29–28"
"Welterweight","John Hathaway","Diego Sanchez","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–27)"
"Welterweight","Dong Hyun Kim","Amir Sadollah","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Efrain Escudero","Dan Lauzon","Decision","3","5:00","(unanimous) (29–27, 29–27, 29–27)"
"Lightweight","Melvin Guillard","Waylon Lowe","TKO","1","3:28","(knee to the body)"
"Light Heavyweight","Cyrille Diabaté","Luiz Cane","TKO","1","2:13","(punches)"
"Lightweight","Aaron Riley","Joe Brammer","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Ryan Jensen","Jesse Forbes","Submission","1","1:06","(guillotine choke)"
"Light Heavyweight","Maurício Rua","Lyoto Machida (c)","KO","1","3:35","(punches)"
"Welterweight","Josh Koscheck","Paul Daley","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Jeremy Stephens","Sam Stout","Decision","3","5:00","(split)(30–27, 28–29, 29–28)"
"Heavyweight","Matt Mitrione","Kimbo Slice","TKO","2","4:24","(punches)"
"Middleweight","Alan Belcher","Patrick Côté","Submission","2","3:25","(rear-naked choke)"
"Middleweight","Joe Doerksen","Tom Lawlor","Submission","2","2:10","(rear-naked choke)"
"Welterweight","Marcus Davis","Jonathan Goulet","TKO","2","1:23","(punches)"
"Welterweight","Johny Hendricks","TJ Grant","Decision","3","5:00","(majority) (29–27, 29–27, 28–28)"
"Heavyweight","Joey Beltran","Tim Hague","Decision","3","5:00","(unanimous) (30–27, 30–26, 29–28)"
"Welterweight","Mike Guymon","Yoshiyuki Yoshida","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","John Salter","Jason MacDonald","TKO","1","2:42","(ankle injury)"
"Middleweight","Anderson Silva (c)","Demian Maia","Decision","5","5:00","(unanimous) (50–45, 50–45, 49–46)"
"Lightweight","Frankie Edgar","B.J. Penn (c)","Decision","5","5:00","(unanimous) (50–45, 48–47, 49–46)"
"Welterweight","Matt Hughes","Renzo Gracie","TKO","3","4:40","(leg kicks and punches)"
"Lightweight","Rafael dos Anjos","Terry Etim","Submission","2","4:30","(armbar)"
"Middleweight","Mark Muñoz","Kendall Grove","TKO","2","2:50","(punches)"
"Light Heavyweight","Phil Davis","Alexander Gustafsson","Submission","1","4:55","(anaconda choke)"
"Welterweight","Rick Story","Nick Osipczak","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Welterweight","DaMarques Johnson","Brad Blackburn","TKO","3","2:08","(body kick and punches)"
"Welterweight","Paul Kelly","Matt Veach","Submission","2","3:41","(guillotine choke)"
"Heavyweight","Jon Madsen","Mostapha Al-turk","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Kenny Florian","Takanori Gomi","Submission","3","2:52","(rear-naked choke)"
"Heavyweight","Roy Nelson","Stefan Struve","TKO","1","0:39","(punches)"
"Middleweight","Jorge Rivera","Nate Quarry","TKO","2","0:29","(punches)"
"Lightweight","Ross Pearson","Dennis Siver","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Andre Winner","Rafaello Oliveira","Decision","3","5:00","(unanimous) (30–27, 29–28, 30–27)"
"Lightweight","Jacob Volkmann","Ronys Torres","Decision","3","5:00","(split) (29–28, 30–27, 30–27)"
"Lightweight","Nik Lentz","Rob Emerson","Decision","3","5:00","(unanimous) (29–28, 30–27, 29–28)"
"Lightweight","Gleison Tibau","Caol Uno","TKO","1","4:13","(punches)"
"Middleweight","Yushin Okami","Lucio Linhares","TKO","2","2:47","(doctor stoppage)"
"Middleweight","Gerald Harris","Mario Miranda","TKO","1","4:49","(punches)"
"Welterweight","Charlie Brenneman","Jason High","Decision","3","5:00","(unanimous) (30–27, 30–27. 29–28)"
"Welterweight","Georges St-Pierre (c)","Dan Hardy","Decision","5","5:00","(unanimous) (50–43, 50–44, 50–45)"
"Heavyweight","Shane Carwin","Frank Mir","KO","1","3:48","(punches)"
"Lightweight","Kurt Pellegrino","Fabricio Camoes","Submission","2","4:20","(rear-naked choke)"
"Welterweight","Jon Fitch","Ben Saunders","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","Jim Miller","Mark Bocek","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Catchweight (177 lb)","Nate Diaz","Rory Markham","TKO","1","2:47","(punches)"
"Welterweight","Ricardo Almeida","Matt Brown","Submission","2","3:30","(rear-naked choke)"
"Middleweight","Rousimar Palhares","Tomasz Drwal","Submission","1","0:45","(heel hook)"
"Light Heavyweight","Jared Hamman","Rodney Wallace","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Matthew Riddle","Greg Soto","Disqualification","3","1:30","(illegal upkick)"
"Light Heavyweight","Jon Jones","Brandon Vera","TKO","1","3:19","(elbow and punches)"
"Heavyweight","Junior dos Santos","Gabriel Gonzaga","KO","1","3:53","(punches)"
"Heavyweight","Cheick Kongo","Paul Buentello","Submission","3","1:16","(elbows to the thigh)"
"Middleweight","Alessio Sakara","James Irvin","TKO","1","3:01","(punch)"
"Lightweight","Clay Guida","Shannon Gugerty","Submission","2","3:40","(arm-triangle choke)"
"Light Heavyweight","Vladimir Matyushenko","Eliot Marshall","Decision","3","5:00","(split) (30–27, 28–29, 30–27)"
"Lightweight","Darren Elkins","Duane Ludwig","TKO","1","0:44","(ankle injury)"
"Welterweight","John Howard","Daniel Roberts","KO","1","2:01","(punch)"
"Heavyweight","Brendan Schaub","Chase Gormley","TKO","1","0:47","(punches)"
"Welterweight","Mike Pierce","Julio Paulino","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Jason Brilz","Eric Schafer","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Cain Velasquez","Antônio Rodrigo Nogueira","KO","1","2:20","(punches)"
"Middleweight","Wanderlei Silva","Michael Bisping","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","George Sotiropoulos","Joe Stevenson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Light Heavyweight","Ryan Bader","Keith Jardine","KO","3","2:10","(flying knee and punch)"
"Heavyweight","Mirko Filipović","Anthony Perosh","TKO","2","5:00","(doctor stoppage)"
"Light Heavyweight","Krzysztof Soszynski","Stephan Bonnar","TKO","3","1:04","(doctor stoppage)"
"Welterweight","Chris Lytle","Brian Foster","Submission","1","1:41","(kneebar)"
"Middleweight","C.B. Dollaway","Goran Reljic","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","James Te-Huna","Igor Pokrajac","TKO","3","3:26","(punches)"
"Light Heavyweight","Randy Couture","Mark Coleman","Submission","2","1:09","Technical  (rear-naked choke)"
"Middleweight","Chael Sonnen","Nate Marquardt","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Paulo Thiago","Mike Swick","Submission","2","1:54","Technical  (D'Arce choke)"
"Middleweight","Demian Maia","Dan Miller","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Welterweight","Matt Serra","Frank Trigg","KO","1","2:23","(punches)"
"Lightweight","Mac Danzig","Justin Buchholz","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Melvin Guillard","Ronys Torres","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Light Heavyweight","Phil Davis","Brian Stann","Decision","3","5:00","(unanimous) (30–26, 30–26, 30–27)"
"Lightweight","Rob Emerson","Phillipe Nover","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Heavyweight","Chris Tuchscherer","Tim Hague","Decision","3","5:00","(majority) (29–28, 29–28, 28–28)"
"Heavyweight","Joey Beltran","Rolles Gracie Jr.","TKO","2","1:31","(punches)"
"Lightweight","Gray Maynard","Nate Diaz","Decision","3","5:00","(split) (29–28, 28–29, 30–27)"
"Lightweight","Evan Dunham","Efrain Escudero","Submission","3","1:59","(armbar)"
"Middleweight","Aaron Simpson","Tom Lawlor","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Welterweight","Amir Sadollah","Brad Blackburn","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Chris Leben","Jay Silva","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Rick Story","Jesse Lennox","Decision","3","5:00","(split) (30–27, 30–27, 28–29)"
"Lightweight","Thiago Tavares","Nik Lentz","Draw","3","5:00","(majority) (27–29, 28–28, 28–28)"
"Welterweight","Rory MacDonald","Mike Guymon","Submission","1","4:27","(armbar)"
"Lightweight","Rafael dos Anjos","Kyle Bradley","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Gerald Harris","John Salter","TKO","3","3:24","(punches)"
"Middleweight","Nick Catone","Jesse Forbes","Decision","3","5:00","(split) (28–29, 29–28, 29–28)"
"Light Heavyweight","Rashad Evans","Thiago Silva","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Catchweight (172 lb)","Paul Daley","Dustin Hazelett","KO","1","2:24","(punches)"
"Lightweight","Sam Stout","Joe Lauzon","Decision","3","5:00","(unanimous) (30–26, 30–27, 30–27)"
"Lightweight","Jim Miller","Duane Ludwig","Submission","1","2:31","(armbar)"
"Heavyweight","Junior dos Santos","Gilbert Yvel","TKO","1","2:07","(punches)"
"Welterweight","Martin Kampmann","Jacob Volkmann","Submission","1","4:03","(ninja choke)"
"Lightweight","Cole Miller","Dan Lauzon","Submission","1","3:05","(reverse triangle and kimura)"
"Middleweight","Mark Muñoz","Ryan Jensen","Submission","1","2:30","(punches)"
"Welterweight","Jake Ellenberger","Mike Pyle","TKO","2","0:22","(punches)"
"Lightweight","Rafaello Oliveira","John Gunderson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Lightweight","B.J. Penn (c)","Diego Sanchez","TKO","5","2:37","(doctor stoppage)"
"Heavyweight","Frank Mir","Cheick Kongo","Submission","1","1:12","Technical  (guillotine choke)"
"Welterweight","Jon Fitch","Mike Pierce","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Lightweight","Kenny Florian","Clay Guida","Submission","2","2:19","(rear-naked choke)"
"Heavyweight","Stefan Struve","Paul Buentello","Decision","3","5:00","(majority) (29–28, 29–28, 28–28)"
"Catchweight (195 lb)","Alan Belcher","Wilson Gouveia","TKO","1","3:03","(punches)"
"Lightweight","Matt Wiman","Shane Nelson","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Welterweight","Johny Hendricks","Ricardo Funch","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–25)"
"Middleweight","Rousimar Palhares","Lucio Linhares","Submission","2","3:21","(heel hook)"
"Welterweight","DaMarques Johnson","Edgar Garcia","Submission","1","4:03","(triangle choke)"
"Welterweight","TJ Grant","Kevin Burns","TKO","1","4:57","(punches)"
"Heavyweight","Roy Nelson","Brendan Schaub","KO","1","3:45","(punch)"
"Light Heavyweight","Matt Hamill","Jon Jones","Disqualification","1","4:14","(12-to-6 elbows)"
"Catchweight (215 lb)","Kimbo Slice","Houston Alexander","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Lightweight","Frankie Edgar","Matt Veach","Submission","2","2:22","(rear-naked choke)"
"Heavyweight","Matt Mitrione","Marcus Jones","KO","2","0:10","(punches)"
"Heavyweight","James McSweeney","Darrill Schoonover","TKO","3","3:20","(punches)"
"Heavyweight","Jon Madsen","Justin Wren","Decision","3","5:00","(split) (30–27, 28–29, 29–28)"
"Light Heavyweight","Brian Stann","Rodney Wallace","Decision","3","5:00","(unanimous) (30–27, 29–28, 29–28)"
"Welterweight","John Howard","Dennis Hallman","KO","3","4:55","(punches)"
"Lightweight","Mark Bocek","Joe Brammer","Submission","1","3:36","(rear-naked choke)"
"Light Heavyweight","Forrest Griffin","Tito Ortiz","Decision","3","5:00","(split) (28–29, 30–27, 29–28)"
"Welterweight","Josh Koscheck","Anthony Johnson","Submission","2","4:47","(rear-naked choke)"
"Welterweight","Paulo Thiago","Jacob Volkmann","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Light Heavyweight","Antônio Rogério Nogueira","Luiz Cané","TKO","1","1:56","(punches)"
"Welterweight","Amir Sadollah","Phil Baroni","Decision","3","5:00","(unanimous) (29–28, 30–27, 30–27)"
"Welterweight","Ben Saunders","Marcus Davis","KO","1","3:24","(knees)"
"Middleweight","Kendall Grove","Jake Rosholt","Submission","1","3:59","(triangle choke)"
"Welterweight","Brian Foster","Brock Larson","Submission","2","3:25","(punches)"
"Lightweight","Caol Uno","Fabricio Camoes","Draw","3","5:00","(majority) (29–27, 28–28, 28–28)"
"Lightweight","George Sotiropoulos","Jason Dent","Submission","2","4:36","(armbar)"
"Light Heavyweight","Randy Couture","Brandon Vera","Decision","3","5:00","(unanimous) (29–28, 29–28, 29–28)"
"Welterweight","Dan Hardy","Mike Swick","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Middleweight","Michael Bisping","Denis Kang","TKO","2","4:24","(knees to the body and punches)"
"Welterweight","Matt Brown","James Wilks","TKO","3","2:26","(punches)"
"Lightweight","Ross Pearson","Aaron Riley","TKO","2","4:34","(doctor stoppage)"
"Welterweight","John Hathaway","Paul Taylor","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–26)"
"Lightweight","Terry Etim","Shannon Gugerty","Submission","2","1:24","(guillotine choke)"
"Welterweight","Nick Osipczak","Matthew Riddle","TKO","3","3:53","(punches)"
"Lightweight","Dennis Siver","Paul Kelly","TKO","2","2:53","(spinning back kick and punches)"
"Light Heavyweight","Alexander Gustafsson","Jared Hamman","KO","1","0:41","(punches)"
"Lightweight","Andre Winner","Rolando Delgado","KO","1","3:22","(punch)"
"Light Heavyweight","Lyoto Machida (c)","Mauricio Rua","Decision","5","5:00","(unanimous) (48–47, 48–47, 48–47)"
"Heavyweight","Cain Velasquez","Ben Rothwell","TKO","2","0:58","(punches)"
"Catchweight (157 lb)","Gleison Tibau","Josh Neer","Decision","3","5:00","(unanimous) (30–27, 30–27, 29–28)"
"Lightweight","Joe Stevenson","Spencer Fisher","Submission","2","4:02","(elbows)"
"Catchweight (176 lb)","Anthony Johnson","Yoshiyuki Yoshida","KO","1","0:41","(punches)"
"Light Heavyweight","Ryan Bader","Eric Schafer","Decision","3","5:00","(unanimous) (30–27, 29–26, 30–27)"
"Heavyweight","Pat Barry","Antoni Hardonk","KO","2","2:30","(punches)"
"Middleweight","Chael Sonnen","Yushin Okami","Decision","3","5:00","(unanimous) (30–27, 30–27, 30–27)"
"Middleweight","Jorge Rivera","Rob Kimmons","KO","3","1:53","(punches)"
"Light Heavyweight","Kyle Kingsbury","Razak Al-Hassan","Decision","3","5:00","(split) (29–28, 28–29, 29–28)"
"Heavyweight","Stefan Struve","Chase Gormley","Submission","1","4:04","(triangle choke)"
"Catchweight (195 lbs)","Vitor Belfort","Rich Franklin","KO","1","3:02","(punches)"
"Heavyweight","Junior dos Santos","Mirko Filipović","Submission","3","2:00","Verbal  (eye injury)"
"Welterweight","Paul Daley","Martin Kampmann","TKO","1","2:31","(punches)"
"Welterweight","Josh Koscheck","Frank Trigg","TKO","1","1:25","(punches)"
"Catchweight (159 lbs)","Tyson Griffin","Hermes Franca","KO","2","3:24","(punches)"
"Lightweight","Efrain Escudero","Cole Miller","TKO","1","3:36","(punches)"
"Middleweight","Tomasz Drwal","Drew McFedries","Submission","2","1:03","(rear-naked choke)"
"Lightweight","Jim Miller","Steve Lopez","TKO","2","0:48","(shoulder injury)"
"Lightweight","Nik Lentz","Rafaello Oliveira","Decision","3","5:00","(unanimous) (29–28, 29–28, 30–27)"
"Welterweight","Rick Story","Brian Foster","Submission","2","1:09","(arm-triangle choke)"
